Time,Irradiance,Zenith,Azimuth,Temperature,Wind Speed
2023-07-22 19:00,0.008,82.41497507969312,293.14915468484685,15.847,12.338
2023-07-06 17:00,0.316,62.69632600405146,272.8742757708379,19.108,7.18
2023-07-20 09:00,0.705,47.11716476474489,112.7625102978168,20.122,2.793
2023-07-09 18:00,0.121,72.13370446127114,283.70149050805634,19.148,6.767
2023-07-25 05:00,0.098,84.25387135259847,65.22473066847601,13.11,4.532
2023-07-16 13:00,0.442,31.78094841388708,204.98783855350464,19.334,12.471
2023-07-02 04:00,0.053,88.93367884790185,52.33760568096875,12.191,7.562
2023-07-30 08:00,0.5660000000000001,57.75734319131814,100.65017672807812,18.456,11.077
2023-07-08 10:00,0.473,37.39678410675482,128.59307733241212,23.754,2.678
2023-07-24 06:00,0.175,75.32667352795326,76.27117392589429,16.029,5.923
2023-07-03 14:00,0.4489999999999999,36.20561427569773,229.67249177750975,19.078,13.86
2023-07-11 14:00,0.507,36.79450161159607,228.5068048993488,20.729,10.105
2023-07-04 14:00,0.414,36.25666782235741,229.5385085841624,18.121,8.38
2023-07-11 06:00,0.214,73.48150033827876,74.9693427892085,17.926,9.939
2023-07-10 16:00,0.4,53.59245422940817,260.3202786296328,21.093,9.762
2023-07-12 19:00,0.029,81.19469052561145,294.3658674967414,17.51,9.702
2023-07-15 19:00,0.031,81.49889490497075,294.02265377845885,16.961,15.473
2023-07-02 13:00,0.779,30.31464569188919,206.8224038836288,20.154,9.514
2023-07-17 07:00,0.431,65.033521464919,86.64341337225096,16.96,8.567
2023-07-05 04:00,0.046,89.17512065874273,52.36422838725088,11.298,9.551
2023-07-03 08:00,0.609,54.08323584247941,97.59855995932789,17.159,9.945
2023-07-30 04:00,0.015,93.41577822467764,54.24816862420698,14.365,9.855
2023-07-10 18:00,0.1099999999999999,72.2060703379926,283.5890865224455,19.745,8.115
2023-07-20 07:00,0.4509999999999999,65.46382870192015,86.99327034745818,17.763,2.763
2023-07-06 06:00,0.3209999999999999,72.93141338795519,74.71517925127972,14.891,5.614
2023-07-10 17:00,0.268,62.93951817420813,272.4076887832235,20.628,9.065
2023-07-26 13:00,0.5,33.607637091323994,203.8007407022991,20.036,7.825
2023-07-30 16:00,0.107,56.25815651908743,257.0878395193441,18.674,11.899
2023-07-11 17:00,0.124,63.01459706494381,272.28225738894093,18.583,9.55
2023-07-25 09:00,0.605,47.93641499643929,113.55350969346388,17.085,4.808
2023-07-31 08:00,0.174,57.93554499217919,100.84626258779826,18.655,11.219
2023-07-07 06:00,0.327,73.03365206621424,74.75509640761356,16.685,4.833
2023-07-15 13:00,0.777,31.63308852409476,205.11704591070284,20.125,16.076
2023-07-05 12:00,0.758,28.47064203397074,178.4512247583832,19.234,10.094
2023-07-10 05:00,0.148,82.07869339703413,63.895045527555965,15.373,5.88
2023-07-12 13:00,0.706,31.22870548443975,205.51082049622215,20.568,10.914
2023-07-04 15:00,0.257,44.24519567816277,247.0859960950063,17.724,7.44
2023-07-02 07:00,0.495,63.35322388996662,85.68588652722349,16.83,7.131
2023-07-25 10:00,0.673,39.9870062818004,130.44586236856492,17.832,5.304
2023-07-02 16:00,0.4679999999999999,53.19184231931371,261.27942085473046,19.717,10.499
2023-07-31 07:00,0.143,67.25550682798836,88.70845055762618,18.261,11.059
2023-07-31 10:00,0.274,41.17260443514788,131.54947292905382,19.397,11.196
2023-07-17 19:00,0.027,81.73140016722594,293.7826644547968,16.917,8.098
2023-07-24 17:00,0.175,64.52978921946246,270.3992407539289,17.682,7.251
2023-07-02 08:00,0.631,53.9980989524722,97.57393642545492,17.826,7.681
2023-07-12 16:00,0.369,53.75125962901506,260.0419327530505,19.973,10.704
2023-07-22 18:00,0.056,73.53172946871153,282.03064026611213,16.235,12.062
2023-07-11 11:00,0.483,31.69057099873756,150.8627491945382,20.722,10.07
2023-07-20 08:00,0.596,56.12173202994202,98.99755446293084,19.09,2.517
2023-07-28 11:00,0.72,34.727114306805454,152.2554295968672,21.847,6.988
2023-07-05 18:00,0.1169999999999999,71.90271392327233,284.1183964415076,17.592,8.941
2023-07-28 19:00,0.008,83.42556832624388,292.3382750598447,18.131,8.526
2023-07-29 16:00,0.349,56.06886063699453,257.2654017933549,21.025,10.847
2023-07-16 09:00,0.727,46.5222752143561,112.24613089403816,19.029,12.466
2023-07-29 10:00,0.786,40.763343592040016,131.1587151456506,21.165,10.075
2023-07-17 17:00,0.302,63.5900033508234,271.4651646732381,19.854,8.916
2023-07-30 09:00,0.6880000000000001,48.833772134578936,114.49596988654967,19.351,11.342
2023-07-10 09:00,0.678,45.74111023787077,111.67429120092362,20.322,7.901
2023-07-03 06:00,0.326,72.65064298903067,74.62801981643821,15.08,8.306
2023-07-06 11:00,0.834,31.08274168420091,150.8098387316209,19.792,7.159
2023-07-24 16:00,0.287,55.20809902631135,258.1374622477504,18.27,7.276
2023-07-13 13:00,0.579,31.356926363562863,205.3787580562232,20.634,9.729
2023-07-17 04:00,0.0289999999999999,91.12046881608038,52.88831275957944,13.63,8.354
2023-07-26 15:00,0.265,46.68505425469819,243.56979154347877,19.33,8.761
2023-07-23 09:00,0.717,47.59916127694138,113.2182444898657,20.699,11.299
2023-07-19 17:00,0.149,63.829102402045336,271.1713138367145,20.261,7.113
2023-07-20 04:00,0.0289999999999999,91.59701040923277,53.127735072987946,12.978,4.416
2023-07-31 09:00,0.209,49.02201871714838,114.701405958039,18.971,11.324
2023-07-13 05:00,0.159,82.44967014026582,64.0677404151968,14.663,6.82
