Time,Irradiance,Zenith,Azimuth,Temperature,Wind Speed,Power
2023-07-02 05:00,0.185,81.27292796601233,63.65736816244282,13.463,6.509,16.05982947656823
2023-07-02 06:00,0.339,72.56558605000134,74.6097907073621,15.338,6.691,24.483441928331388
2023-07-02 07:00,0.495,63.35322388996662,85.68588652722349,16.83,7.131,29.47282030449106
2023-07-02 08:00,0.631,53.9980989524722,97.57393642545492,17.826,7.681,43.51481484763358
2023-07-02 09:00,0.735,44.92870669397911,111.30118378133074,18.555,8.267,110.12373903262043
2023-07-02 10:00,0.799,36.79519519391888,128.43337543048244,19.084,8.678,167.21075155712535
2023-07-02 11:00,0.827,30.69967430438716,150.88541552529102,19.529,8.946,207.97863827724348
2023-07-02 12:00,0.8230000000000001,28.216192984166305,178.7038116594183,19.89,9.179,206.67982334672303
2023-07-02 13:00,0.779,30.31464569188919,206.8224038836288,20.154,9.514,168.04722579349956
2023-07-02 14:00,0.713,36.16095931083051,229.8025681151609,20.26,9.969,122.66364523169658
2023-07-02 15:00,0.623,44.170492286928976,247.3262915872833,20.173,10.341,72.80727032756941
2023-07-02 16:00,0.4679999999999999,53.19184231931371,261.27942085473046,19.717,10.499,38.95986022878268
2023-07-02 17:00,0.308,62.54535396682567,273.279838560218,18.978,10.357,32.36905611819534
2023-07-02 18:00,0.156,71.79053219970714,284.3944273270086,17.959,10.232,23.52475543914792
2023-07-02 19:00,0.033,80.56480748656591,295.33443069981763,16.762,10.024,7.212553730341607
2023-07-03 05:00,0.155,81.35810598150665,63.66957668851279,13.523,7.286,23.537900911677568
2023-07-03 06:00,0.326,72.65064298903067,74.62801981643821,15.08,8.306,31.610978804091257
2023-07-03 07:00,0.483,63.438015085786326,85.70845347018121,16.26,9.177,34.21838806299274
2023-07-03 08:00,0.609,54.08323584247941,97.59855995932789,17.159,9.945,50.89628550186442
2023-07-03 09:00,0.717,45.01501770312017,111.32317858059906,18.001,10.675,111.08682422897458
2023-07-03 10:00,0.801,36.8830059313509,128.44154569368953,18.751,11.446,167.90548148856598
2023-07-03 11:00,0.7829999999999999,30.786629566571506,150.8567979394765,19.211,12.324,197.5224841066323
2023-07-03 12:00,0.675,28.29434455549825,178.6165541850155,19.321,13.108,174.3707306559466
2023-07-03 13:00,0.563,30.37565223421366,206.6951873892939,19.247,13.669,139.2605529224266
2023-07-03 14:00,0.4489999999999999,36.20561427569773,229.67249177750975,19.078,13.86,108.47614537656236
2023-07-03 15:00,0.449,44.20485859729038,247.20841994045912,19.097,13.926,91.66209002940255
2023-07-03 16:00,0.322,53.22152535107752,261.1742798715957,18.809,13.583,65.1070227795775
2023-07-03 17:00,0.209,62.57446231741429,273.1844869821225,18.249,12.915,45.53919873488287
2023-07-03 18:00,0.131,71.82209937082581,284.30606103256275,17.415,11.988,26.01835987474637
2023-07-03 19:00,0.034,80.60103250059069,295.2511720649719,16.22,11.062,7.247403315121811
2023-07-04 05:00,0.143,81.44791402387494,63.68674485158664,13.831,7.243,29.261250459280223
2023-07-04 06:00,0.263,72.7400332834628,74.65165245617817,15.078,7.462,47.027273461332186
2023-07-04 07:00,0.355,63.52698598878104,85.73691209973123,16.056,7.337,65.33719690531255
2023-07-04 08:00,0.43,54.17256927072448,97.62964446233092,16.834,7.411,87.66552788500555
2023-07-04 09:00,0.487,45.10577075342167,111.352237746963,17.391,7.848,114.79780277606805
2023-07-04 10:00,0.583,36.97582515953662,128.45710407785168,17.881,8.471,145.44857262924205
2023-07-04 11:00,0.631,30.87946309953213,150.83463752300224,18.264,8.999,167.43158321871385
2023-07-04 12:00,0.584,28.3791510964458,178.5323109113915,18.367,9.146,156.09829977946322
2023-07-04 13:00,0.495,30.443432713742013,206.5665434581209,18.259,8.92,129.78079718549526
2023-07-04 14:00,0.414,36.25666782235741,229.5385085841624,18.121,8.38,106.9957548574149
2023-07-04 15:00,0.257,44.24519567816277,247.0859960950063,17.724,7.44,67.6857127720969
2023-07-04 16:00,0.177,53.256918140853415,261.06470463276605,17.336,6.362,45.26155765532134
2023-07-04 17:00,0.136,62.6091948780917,273.0850508890485,16.944,5.479,34.75477384816656
2023-07-04 18:00,0.071,71.85931699058749,284.21402550626726,16.287,4.765,15.009095308963945
2023-07-05 05:00,0.1709999999999999,81.54147812322692,63.708893809802646,12.134,8.922,22.609328845988202
2023-07-05 06:00,0.325,72.83337234375365,74.68070160813795,13.534,8.867,27.604388034427863
2023-07-05 07:00,0.4629999999999999,63.61994946365793,85.7712676586583,15.067,9.23,36.867866185330364
2023-07-05 08:00,0.587,54.26601096081792,97.6671878945798,16.421,9.472,52.49496550570967
2023-07-05 09:00,0.68,45.20095294792952,111.38835379729905,17.442,9.501,110.11519706371827
2023-07-05 10:00,0.7130000000000001,37.073674769879744,128.48004761142204,18.243,9.604,156.0970661730332
2023-07-05 11:00,0.735,30.978195194295203,150.8189740350649,18.815,9.861,187.32147882572906
2023-07-05 12:00,0.758,28.47064203397074,178.4512247583832,19.234,10.094,192.331580932061
2023-07-05 13:00,0.748,30.518055277015648,206.4366785904306,19.51,10.162,164.14839850615598
2023-07-05 14:00,0.676,36.314227063909655,229.4007991630729,19.627,10.117,122.25047365860429
2023-07-05 15:00,0.593,44.29172317588596,246.95915756677925,19.633,10.096,77.68262237602984
2023-07-05 16:00,0.397,53.29833924979062,260.9508019129809,19.206,9.975,55.44746973098278
2023-07-05 17:00,0.213,62.64993850513346,272.9816178982724,18.439,9.517,44.092566424481056
2023-07-05 18:00,0.1169999999999999,71.90271392327233,284.1183964415076,17.592,8.941,23.117111384408577
