Time,Irradiance,Zenith,Azimuth,Temperature,Wind Speed,Power
2023-01-01 09:00,0.037,84.17782034738737,138.72410450195605,10.646,12.407,7.232067889144252
2023-01-01 10:00,0.059,78.87584783546497,151.57649538485208,10.803,11.435,14.239141265168337
2023-01-01 11:00,0.059,75.43900700650799,165.2762258710968,10.832,11.049,14.234534160892174
2023-01-01 12:00,0.054,74.1974119711828,179.51254789699806,10.782,10.765,13.702739608421597
2023-01-01 13:00,0.044,75.27587119471058,193.769086890872,10.673,10.626,7.364912070126562
2023-01-01 14:00,0.026,78.56556648934242,207.52139849166497,10.493,10.759,6.416001221614258
2023-01-02 09:00,0.049,84.14897198352347,138.58869585200972,7.564,6.753,9.156436654025113
2023-01-02 10:00,0.0959999999999999,78.82922276653066,151.44423391655835,7.833,6.56,21.928355052037702
2023-01-02 11:00,0.132,75.37267062731688,165.15114538573687,8.04,6.629,34.63335488390554
2023-01-02 12:00,0.193,74.1115860698443,179.400006545706,8.252,6.763,41.87256750259864
2023-01-02 13:00,0.185,75.17289786207184,193.67364588723507,8.231,6.644,26.336711688990796
2023-01-02 14:00,0.111,78.44919961474437,207.44495886916127,7.648,6.303,15.260899806498111
2023-01-03 09:00,0.036,84.11525211573073,138.45098643809428,8.807,10.642,7.162366448293227
2023-01-03 10:00,0.068,78.77646965201801,151.31063482258912,9.275,11.35,14.607492040347068
2023-01-03 11:00,0.085,75.29978941513971,165.02589956903762,9.629,12.718,21.328917149489822
2023-01-03 12:00,0.049,74.01913503094937,179.28860760144084,9.697,13.24,10.354692825284106
2023-01-03 13:00,0.031,75.06365121465436,193.58063755918027,9.779,13.546,6.986347946528873
2023-01-04 09:00,0.029,84.07532072316721,138.31107039151237,11.845,14.261,6.929422387473221
2023-01-04 10:00,0.051,78.7166797768604,151.175787031546,11.993,14.289,12.62104685450966
2023-01-04 11:00,0.059,75.21960344730115,164.90057283459657,12.105,14.408,14.293569976427216
2023-01-04 12:00,0.059,73.91948795772241,179.1784315005076,12.177,14.527,14.294971458601864
2023-01-04 13:00,0.089,74.94750703323615,193.49013776649437,12.287,14.707,21.79674625108474
2023-01-04 14:00,0.079,78.1992808953184,207.30280550287267,12.071,14.539,16.110956095629632
2023-01-05 09:00,0.049,84.02578519862688,138.1690406109048,9.898,8.719,10.124546161244332
2023-01-05 10:00,0.092,78.64838275333918,151.03977782596837,10.686,8.748,21.91129199795929
2023-01-05 11:00,0.118,75.13128589122614,164.77524771774517,11.478,9.392,29.32868564808761
2023-01-05 12:00,0.1359999999999999,73.81194875381134,179.06955672132085,11.949,9.534,34.19584519337421
2023-01-05 13:00,0.129,74.82374276954818,193.4022203356953,12.061,9.993,29.709506406048167
2023-01-05 14:00,0.087,78.06374894501002,207.23722766526905,11.715,10.474,18.544469524605844
2023-01-06 09:00,0.125,83.96866323897868,138.024989084695,6.975,7.062,16.473304187607805
2023-01-06 10:00,0.189,78.5723408604707,150.90269322119912,7.977,6.696,36.13896050124346
2023-01-06 11:00,0.146,75.03509228379946,164.65000531950568,8.747,6.907,36.62050656687214
2023-01-06 12:00,0.102,73.69661268846905,178.96206026416985,9.213,7.115,24.548146987293027
2023-01-06 13:00,0.112,74.69258436095897,193.3169575618275,9.834,7.455,26.859462558400246
2023-01-06 14:00,0.068,77.92139311952018,207.1754031138985,10.065,8.397,14.648080894461106
