,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,irradiance_global_horizontal,irradiance_direct_normal 
3639,54.85235777962935,54.875484152544345,35.14764222037065,35.124515847455655,261.81972836829306,2.151040347722301,2023-06-01 15:00,2023-06-01 16:00,0.592,0.548,0.087,17.069,0.635,0.9519088760450491
3640,64.20218047489644,64.23575739868828,25.797819525103563,25.76424260131172,273.7604848861778,2.144676925468957,2023-06-01 16:00,2023-06-01 17:00,0.459,0.398,0.084,16.639,0.48200000000000004,0.9145287074256482
3641,73.42559160516517,73.47955564978201,16.574408394834833,16.52044435021799,284.89908629565576,2.1383024682145333,2023-06-01 17:00,2023-06-01 18:00,0.305,0.238,0.081,15.807,0.319,0.8343257114864511
3642,82.15033671908225,82.26064495757407,7.8496632809177544,7.73935504242592,295.9220708669245,2.131916991696926,2023-06-01 18:00,2023-06-01 19:00,0.146,0.089,0.07,14.564,0.159,0.6516599892668471
3643,89.73177169364412,90.24062092385613,0.268228306355877,-0.2406209238561319,307.3258463387888,2.125520511792274,2023-06-01 19:00,2023-06-01 20:00,0.021,0.007,0.027,13.036,0.034,
3644,97.05242139381679,97.05242139381679,-7.0524213938167915,-7.0524213938167915,319.4630239739921,2.119113044347614,2023-06-01 20:00,2023-06-01 21:00,0.0,0.0,0.0,11.843,0.0,-0.0
3645,102.29735299119302,102.29735299119302,-12.297352991193028,-12.297352991193028,332.5156155462772,2.112694605195429,2023-06-01 21:00,2023-06-01 22:00,0.0,0.0,0.0,11.142,0.0,-0.0
3646,105.58546068896077,105.58546068896077,-15.585460688960763,-15.585460688960763,346.42363905040634,2.1062652101099957,2023-06-01 22:00,2023-06-01 23:00,0.0,0.0,0.0,10.747,0.0,-0.0
3647,106.62174865759287,106.62174865759287,-16.621748657592878,-16.621748657592878,0.8422023966697907,2.099824874989281,2023-06-01 23:00,2023-06-02 00:00,0.0,0.0,0.0,10.515,0.0,-0.0
3648,105.3033792795056,105.3033792795056,-15.303379279505608,-15.303379279505608,15.225116487433525,2.093373615658493,2023-06-02 00:00,2023-06-02 01:00,0.0,0.0,0.0,10.303,0.0,-0.0
3649,101.76009511895921,101.76009511895921,-11.76009511895921,-11.76009511895921,29.04069157747199,2.0869114478409756,2023-06-02 01:00,2023-06-02 02:00,0.0,0.0,0.0,10.088,0.0,-0.0
3650,96.30370067036874,96.30370067036874,-6.3037006703687375,-6.3037006703687375,41.97697487375012,2.0804383874929044,2023-06-02 02:00,2023-06-02 03:00,0.0,0.0,0.0,9.875,0.0,-0.0
3651,88.93527770659934,89.32878337782192,1.064722293400668,0.6712166221780856,54.00664806781134,2.0739544503667275,2023-06-02 03:00,2023-06-02 04:00,0.0,0.0,0.0,9.615,0.0,0.0
3652,81.13046398185904,81.23107989270281,8.869536018140955,8.768920107297193,65.33514727693336,2.067459652207617,2023-06-02 04:00,2023-06-02 05:00,0.019,0.005,0.026,9.6,0.031,0.03242856147120853
3653,72.32129319344156,72.37282046518737,17.678706806558434,17.62717953481262,76.33179165837151,2.060954009015404,2023-06-02 05:00,2023-06-02 06:00,0.116,0.044,0.084,10.193,0.128,0.14488983608846454
3654,63.05739490955649,63.089983846889076,26.942605090443504,26.910016153110924,87.51079903176162,2.0544375364333973,2023-06-02 06:00,2023-06-02 07:00,0.291,0.199,0.099,11.05,0.29800000000000004,0.43919885149245286
3655,53.709920385151804,53.73248505762187,36.290079614848196,36.26751494237813,99.58755195327558,2.0479102503086324,2023-06-02 07:00,2023-06-02 08:00,0.479,0.413,0.08,12.142,0.493,0.6977840875493504
